Customer_ID,Birthdate,Gender,City,Register_Date,first_order_date,total_orders,Client_Type
C2248,1981-09-30,Female,Lauriechester,2020-12-21,2024-10-13,3,Regular
C2249,1966-10-21,Female,South Carrieburgh,2021-09-13,2023-04-26,4,Regular
C2250,1968-03-27,Other,Manuelland,2022-09-03,2023-08-23,5,Regular
C2251,1992-02-15,Female,Donnaport,2022-02-08,2024-05-07,1,Regular
C2252,1975-03-04,Female,Morrisonchester,2022-04-04,2024-01-12,3,Regular
C2253,1962-09-24,Female,Lake Scott,2021-04-12,2024-05-28,5,Regular
C2254,1965-02-28,Female,Williamsstad,2022-01-06,2024-05-23,3,Regular
C2255,1961-05-27,Male,Hillton,2022-12-21,2024-12-16,12,Regular
C2256,1959-12-26,Male,Lake Danastad,2021-01-28,2025-01-15,2,Premium
C2257,1952-07-03,Male,North Douglas,2021-01-31,2024-10-28,3,Regular
C2258,1993-05-18,Female,Johnsonland,2023-01-06,2023-11-05,4,Regular
C2259,1957-05-26,Male,Port Deanna,2023-02-02,2023-08-25,9,Regular
C2260,1965-10-07,Female,Patrickshire,2022-02-17,2024-01-31,5,Regular
C2261,1952-06-06,Male,New Ericmouth,2021-12-22,2023-07-25,3,Regular
C2262,1994-11-06,Female,Nathanland,2020-06-01,2024-11-20,3,Regular
C2263,1980-10-04,Female,New Michael,2022-11-26,2024-12-14,4,Regular
C2264,1996-02-29,Female,Debrabury,2021-02-17,2025-02-24,4,Regular
C2265,1991-04-06,Male,North Jillfort,2022-03-16,2023-11-12,7,Regular
C2266,1956-11-22,Female,Mcintyreville,2022-10-23,2024-11-07,6,Regular
C2267,1957-04-30,Female,Kimberlymouth,2022-02-13,2025-03-06,3,Regular
C2268,1959-01-08,Male,New Justin,2021-12-12,2023-07-18,6,Regular
C2269,1994-07-23,Female,Gonzalezberg,2020-04-23,2024-12-07,6,Regular
C2270,1977-03-30,Female,South Geraldmouth,2023-04-16,2025-03-16,4,Regular
C2271,1963-02-10,Male,Port Evelynmouth,2021-03-16,2023-05-10,7,Regular
C2272,1993-08-08,Female,Jennaside,2021-03-02,2024-01-03,4,Regular
C2273,1984-06-01,Male,Patriciaburgh,2021-06-23,2025-01-03,7,Regular
C2274,1996-01-11,Male,Port Michael,2023-04-15,2024-03-16,3,Regular
C2275,1979-12-30,Male,North Tracie,2020-07-23,2023-11-15,4,Premium
C2276,1984-11-27,Male,East Kristy,2022-09-30,2024-05-28,7,Premium
C2277,1963-07-21,Male,West Angelastad,2020-09-22,2023-06-06,8,Premium
C2278,1951-02-19,Female,Laraside,2022-07-30,2023-11-08,2,Regular
C2279,2000-12-15,Female,New Nicole,2021-02-01,2024-10-22,9,Regular
C2280,1957-07-03,Female,West Raymondfort,2021-11-06,2024-07-08,6,Regular
C2281,1964-06-15,Female,Hammondshire,2021-09-05,2024-08-17,4,Regular
C2282,1959-10-11,Female,East Teresaland,2021-02-17,2023-06-16,7,Regular
C2283,1968-11-07,Female,Owenshaven,2022-03-28,2024-05-07,2,Regular
C2284,1956-07-04,Male,Davidside,2020-10-11,2024-04-05,2,Premium
C2285,1964-11-11,Male,Port Tammy,2021-05-29,2024-05-18,3,Regular
C2286,1945-04-04,Male,Shawton,2023-02-22,2024-01-22,5,Premium
C2287,1992-06-22,Male,New Ericburgh,2022-05-17,2023-05-31,7,Regular
C2288,1980-08-22,Female,West Sarah,2022-07-15,2024-05-10,4,Regular
C2289,1952-11-28,Male,West Stacey,2023-01-04,2025-02-13,4,Regular
C2290,1962-12-18,Female,Meghanview,2021-08-16,2024-07-01,5,Regular
C2291,1947-05-24,Other,Lake Stephanie,2022-10-31,2023-08-25,5,Premium
C2292,1948-01-03,Female,Davidport,2021-12-11,2024-01-28,4,Regular
C2293,1981-12-13,Male,New Danielleshire,2022-11-22,2023-08-18,5,Regular
C2294,1964-03-05,Male,East Donna,2021-12-17,2023-11-02,6,Premium
C2295,1991-10-03,Female,Meganshire,2022-10-15,2024-12-08,5,Regular
C2296,1952-11-20,Female,Port Michelleland,2020-10-11,2023-07-06,7,VIP
C2297,1987-09-14,Male,Lake Kelliview,2021-10-09,2025-03-12,8,Regular
C2298,2003-05-24,Female,Port Ashley,2021-10-15,2024-07-06,4,Regular
C2299,1995-07-10,Male,South Pamelaside,2022-03-29,2024-09-22,5,Regular
C2300,1977-09-12,Male,Dawnport,2022-12-02,2024-10-30,6,Regular
C2301,1951-04-11,Male,Sanchezfurt,2021-01-10,2023-07-16,9,Regular
C2302,2003-09-07,Male,Shawnton,2023-02-27,2023-10-12,6,Regular
C2303,1945-02-16,Other,South Robert,2021-07-23,2024-11-13,0,Premium
C2304,1983-05-12,Female,Harrisberg,2022-11-27,2024-05-17,4,Premium
C2305,1963-08-24,Male,Michellemouth,2022-10-20,2023-04-19,2,Regular
C2306,1976-03-27,Female,Theresaberg,2020-08-26,2023-05-22,6,Regular
C2307,1976-11-14,Female,Zacharyville,2023-02-25,2025-02-12,9,Regular
C2308,1974-04-08,Female,Johnville,2020-11-11,2025-02-16,0,Regular
C2309,1967-06-25,Male,Shannonberg,2021-08-16,2023-04-27,3,Regular
C2310,1956-11-03,Male,North Kellyfurt,2020-10-17,2023-10-24,0,Regular
C2311,1947-10-16,Male,Wrightburgh,2021-04-22,2023-05-23,8,Regular
C2312,1961-06-23,Male,Sarahmouth,2021-08-04,2024-04-18,2,Regular
C2313,2002-12-08,Male,Port Erik,2020-10-15,2024-01-25,4,VIP
C2314,1976-10-21,Female,Jimenezport,2021-01-26,2024-02-09,4,Regular
C2315,1952-01-22,Male,Johnsonfurt,2021-11-17,2025-04-01,5,Regular
C2316,2000-03-28,Male,Levyborough,2023-03-30,2023-08-12,4,Regular
C2317,1948-09-28,Male,Brandonport,2020-11-22,2023-09-04,3,Regular
C2318,1971-07-25,Male,Harperfort,2022-06-19,2025-04-10,2,Regular
C2319,1977-10-04,Male,Amandaville,2021-12-11,2025-02-12,8,Regular
C2320,1949-05-03,Male,Andersonview,2022-01-26,2023-05-15,4,Premium
C2321,1983-07-24,Male,Kathrynstad,2022-10-30,2024-06-20,5,Regular
C2322,1987-02-16,Male,South Brettside,2020-11-17,2024-12-31,5,Regular
C2323,1991-01-03,Male,West Angela,2022-09-26,2025-03-27,7,VIP
C2324,1947-12-11,Female,South Williamside,2021-12-04,2024-10-23,5,Premium
C2325,1954-08-15,Male,Marciaville,2022-02-03,2024-11-13,8,Regular
C2326,1954-06-13,Male,North Phillip,2021-01-30,2024-09-08,5,Regular
C2327,1999-06-30,Male,Angelastad,2022-05-13,2024-03-08,4,Regular
C2328,1982-08-06,Female,East Carrie,2022-12-30,2023-10-09,6,Regular
C2329,1964-12-20,Male,Porterton,2022-07-30,2023-12-23,5,Regular
C2330,1950-02-03,Female,East Jenniferfort,2023-03-30,2023-10-27,1,Regular
C2331,1961-03-08,Female,Hernandezhaven,2023-01-14,2024-03-06,7,Regular
C2332,1952-05-10,Male,West Sarah,2021-01-11,2025-03-29,4,Regular
C2333,1982-04-09,Female,Franciscoport,2022-08-27,2024-10-28,4,Regular
C2334,1996-04-25,Female,Williamhaven,2021-01-01,2023-12-22,4,Regular
C2335,1972-08-13,Male,Ericksonport,2022-05-17,2023-11-14,6,Regular
C2336,1985-07-22,Male,Cabrerastad,2021-07-09,2025-01-18,6,Regular
C2337,1984-11-10,Female,Emilychester,2020-11-20,2023-06-17,4,Regular
C2338,1998-02-07,Female,Lauratown,2021-02-01,2024-07-04,5,Regular
C2339,1986-05-18,Other,Bakershire,2021-08-18,2024-02-01,4,Regular
C2340,1959-08-27,Male,Lake Brett,2022-03-18,2023-07-19,4,Regular
C2341,1997-01-29,Female,Jacksonfurt,2022-12-05,2024-05-11,8,Regular
C2342,1979-11-09,Male,Port Erin,2020-07-09,2024-09-21,4,Regular
C2343,1970-03-07,Female,New Stacyville,2021-10-26,2025-03-18,7,Premium
C2344,1974-12-14,Female,North Scott,2020-05-01,2023-05-28,7,Premium
C2345,2006-02-12,Male,Hernandezborough,2022-05-09,2023-09-04,9,Regular
C2346,1974-06-03,Male,Shawfort,2020-11-15,2023-10-08,6,Regular
C2347,1964-07-12,Male,Lake Devinborough,2021-02-14,2025-01-01,5,Regular
C2348,2002-10-30,Male,Whitneyfort,2021-12-04,2024-05-22,10,Regular
C2349,1984-05-05,Male,Edwardsburgh,2022-09-06,2023-05-23,8,Regular
C2350,1973-06-23,Female,Barrmouth,2022-06-11,2024-02-23,5,VIP
C2351,1965-01-28,Female,Ericaview,2023-01-26,2023-06-10,6,Regular
C2352,1982-12-28,Female,Leebury,2022-05-25,2025-02-27,1,Regular
C2353,1986-07-22,Female,Angelabury,2022-01-12,2024-04-13,10,Premium
C2354,1948-05-24,Female,Kellieborough,2023-03-16,2025-02-18,10,Premium
C2355,1985-10-12,Female,Stewartstad,2022-05-20,2023-11-23,3,Premium
C2356,1994-08-29,Female,Keithshire,2022-01-22,2024-12-08,6,Regular
C2357,1951-01-18,Male,Huangfurt,2022-03-07,2025-02-02,8,Regular
C2358,1996-03-13,Male,Stephanieberg,2022-05-16,2023-12-15,1,Regular
C2359,1958-06-08,Male,Bobbyland,2021-01-01,2023-12-28,7,Regular
C2360,1986-11-11,Male,Sandraview,2020-08-23,2023-06-24,6,Regular
C2361,1958-08-28,Male,Lewisside,2022-09-12,2024-06-20,5,Regular
C2362,1962-04-21,Male,Sarahview,2020-06-03,2024-04-06,5,Premium
C2363,1989-03-28,Female,North Christina,2021-03-25,2023-04-24,8,Regular
C2364,1949-10-26,Female,East Brent,2021-07-14,2024-01-29,2,Regular
C2365,1954-12-25,Male,Lake Jesse,2020-06-06,2023-09-20,5,Regular
C2366,1960-08-13,Male,South Markfort,2021-06-17,2023-11-30,5,Regular
C2367,1956-02-15,Male,Lake Kellitown,2021-04-01,2024-06-28,3,Regular
C2368,1981-11-09,Female,South Denise,2022-07-31,2024-12-17,5,Regular
C2369,1949-05-27,Male,Woodsborough,2021-07-09,2023-12-10,4,Regular
C2370,1954-12-12,Female,Manuelton,2021-01-03,2024-11-12,3,Premium
C2371,1944-06-23,Male,Lake Audreyside,2022-03-28,2024-08-13,8,Regular
C2372,1972-02-04,Female,East Robertburgh,2022-09-12,2023-10-23,4,VIP
C2373,1974-12-14,Other,Port Randyfort,2022-05-26,2024-04-12,4,Regular
C2374,1991-03-17,Male,Lake Suzanne,2022-08-18,2024-01-29,2,Regular
C2375,1984-09-14,Female,Nancytown,2022-06-19,2024-07-20,5,Regular
C2376,1976-04-09,Female,Ashleyville,2020-10-09,2024-05-05,6,Regular
C2377,1964-02-12,Female,Justinside,2022-09-23,2024-12-08,4,Regular
C2378,1946-07-08,Male,Smallberg,2020-10-11,2024-12-10,4,Regular
C2379,1960-01-18,Female,Nelsonville,2021-06-07,2023-09-16,1,Premium
C2380,1963-11-25,Female,Franciscomouth,2022-08-08,2024-11-06,3,Premium
C2381,1992-05-27,Female,Jennifertown,2021-11-07,2025-03-17,5,Regular
C2382,1963-07-15,Female,Krystalshire,2022-08-07,2024-06-15,4,Premium
C2383,1992-02-18,Female,East Cheryl,2020-06-20,2024-11-28,5,Regular
C2384,2002-10-16,Other,Wilcoxhaven,2022-03-03,2024-12-26,7,Premium
C2385,1975-03-12,Female,Christopherville,2022-08-13,2023-10-25,8,Regular
C2386,1949-02-20,Female,East Thomas,2021-03-22,2023-08-12,4,Regular
C2387,1991-01-27,Female,North Jose,2022-02-06,2023-04-22,6,Premium
C2388,1960-03-06,Male,South Karen,2020-09-23,2025-04-11,2,Regular
C2389,2007-03-02,Female,Kevinshire,2023-01-27,2024-03-01,7,Premium
C2390,1962-04-19,Female,West Desireebury,2021-05-06,2023-05-06,3,Regular
C2391,1997-11-27,Male,Lake Davidport,2021-07-23,2023-10-15,9,Regular
C2392,1998-02-20,Female,South Gina,2020-06-06,2024-06-11,3,Regular
C2393,1986-10-30,Male,Hannahport,2022-03-16,2024-01-12,5,Regular
C2394,1984-06-06,Female,Christinabury,2021-05-30,2024-08-23,3,Regular
C2395,1989-04-15,Female,South Eric,2021-10-10,2025-01-29,7,Premium
C2396,1999-01-01,Female,Robertside,2020-08-30,2024-10-07,3,Regular
C2397,1957-10-03,Male,Toddborough,2022-02-28,2025-02-27,6,Premium
C2398,1973-03-23,Female,Lake Karen,2020-10-16,2023-04-25,6,Premium
C2399,1952-02-08,Female,New Seanstad,2021-04-20,2024-01-03,3,Regular
C2400,1981-05-09,Male,New Danielside,2021-03-09,2023-04-19,2,Premium
C2401,1959-08-05,Male,New Amanda,2022-10-17,2024-11-27,4,VIP
C2402,1988-05-14,Female,West Melissa,2023-03-23,2024-09-09,8,Premium
C2403,1954-06-08,Male,Wilsonborough,2021-10-13,2024-02-04,5,Premium
C2404,2006-02-10,Male,Davishaven,2022-11-21,2025-02-05,10,VIP
C2405,1962-05-16,Female,Stokesmouth,2022-12-25,2024-11-11,4,Regular
C2406,2000-07-19,Male,New Robert,2022-02-11,2024-11-02,1,Regular
C2407,1953-12-22,Female,New Stevenport,2020-12-30,2023-12-12,4,Premium
C2408,1949-02-25,Male,South Jonathantown,2022-11-30,2023-07-07,7,Regular
C2409,1948-05-09,Female,New Charles,2020-11-19,2023-09-24,7,Regular
C2410,1955-08-03,Male,Cooperland,2021-03-03,2024-06-02,6,Regular
C2411,1998-03-26,Female,North Valeriefort,2021-03-04,2023-10-19,7,Premium
C2412,1965-03-24,Male,West Robertberg,2020-07-18,2024-03-09,7,Regular
C2413,1984-10-14,Female,Brooksfurt,2022-09-19,2024-05-04,2,Premium
C2414,1995-04-06,Male,Kanefurt,2021-10-13,2023-06-03,2,Regular
C2415,2000-05-20,Female,Millerside,2022-07-22,2023-08-06,9,Regular
C2416,1983-01-11,Female,Lake Michelle,2021-06-27,2024-10-21,1,Regular
C2417,2006-12-25,Other,East Victoriafurt,2022-10-31,2023-11-21,5,Regular
C2418,1963-12-08,Female,Lake Tiffany,2022-08-01,2023-06-29,7,Regular
C2419,1974-03-07,Male,Port Andrewport,2021-01-03,2023-05-22,3,Premium
C2420,1952-10-03,Female,Nunezside,2021-09-01,2025-04-02,8,Premium
C2421,1976-03-10,Male,Patelbury,2023-04-15,2023-10-14,6,Regular
C2422,1991-02-28,Male,South Michael,2021-07-15,2025-03-14,7,Regular
C2423,1964-12-27,Male,Jacobville,2021-07-10,2025-02-02,5,Premium
C2424,1991-11-29,Female,Port Donnatown,2022-09-23,2024-05-25,3,Premium
C2425,1971-09-08,Female,East Carlos,2021-06-06,2024-03-03,9,Regular
C2426,1962-10-27,Male,South Carlaton,2022-06-25,2024-10-13,5,Regular
C2427,1978-05-09,Female,Lake Bradley,2023-03-08,2025-03-13,8,Regular
C2428,1981-01-15,Male,Youngborough,2020-09-11,2024-02-01,12,Premium
C2429,1977-11-24,Male,East Williamport,2020-11-13,2024-04-08,5,Regular
C2430,1974-01-31,Male,Port Sabrina,2022-01-16,2024-11-18,6,Regular
C2431,1949-10-08,Male,Barbaramouth,2020-07-18,2023-06-22,2,Regular
C2432,1984-12-28,Female,West Nancy,2021-06-21,2024-07-12,2,Premium
C2433,1947-01-03,Female,South Kevin,2023-01-30,2023-07-01,8,Regular
C2434,2004-10-26,Female,New Stacyburgh,2020-10-31,2024-05-14,3,Regular
C2435,1973-09-11,Male,Peterston,2023-04-11,2023-07-30,5,Regular
C2436,1994-04-12,Male,Shellyfurt,2020-11-09,2024-08-24,3,Regular
C2437,1966-03-25,Male,Heatherchester,2021-05-09,2025-01-13,5,Regular
C2438,1985-05-18,Female,West Nicholas,2020-11-30,2024-02-18,3,Premium
C2439,1961-05-01,Male,Allenbury,2021-08-30,2023-06-15,4,Premium
C2440,1946-01-20,Female,Meredithberg,2021-05-06,2024-07-20,5,Premium
C2441,1950-07-05,Other,Melendezside,2023-03-03,2024-07-02,6,Premium
C2442,1959-11-15,Female,Faulknerside,2021-12-18,2023-06-05,6,Regular
C2443,1990-03-07,Female,South John,2022-05-17,2024-03-20,8,Premium
C2444,2001-03-07,Male,West Deborah,2020-11-23,2024-09-13,7,Regular
C2445,2002-11-08,Female,Booneland,2022-09-30,2023-07-28,6,Regular
C2446,1983-06-09,Female,North Joseph,2022-12-25,2023-10-18,8,VIP
C2447,1984-04-01,Female,Port Charlesshire,2021-06-08,2023-11-30,9,Regular
C2448,1945-09-15,Male,South Jason,2022-12-18,2023-11-06,6,Regular
C2449,1996-05-03,Male,Kevintown,2022-01-20,2025-02-06,7,Regular
C2450,1990-01-16,Male,East Suzanne,2021-11-20,2023-12-18,8,Regular
C2451,2000-03-11,Female,Lake Yvonnefort,2022-03-20,2025-04-06,2,Regular
C2452,1962-08-20,Female,Lake Cassandra,2020-08-12,2024-12-30,3,Premium
C2453,1983-07-05,Female,South Rose,2022-12-27,2024-02-17,2,VIP
C2454,1947-01-12,Male,Kimberlyfurt,2020-09-08,2024-10-13,4,Regular
C2455,1996-03-23,Female,Fergusonstad,2022-01-02,2025-01-23,7,Regular
C2456,1995-10-05,Male,Josehaven,2022-06-26,2024-11-09,7,Regular
C2457,1956-03-20,Male,Owensfort,2021-06-23,2023-12-27,9,Premium
C2458,1976-04-24,Male,Robinstad,2023-04-01,2023-12-21,6,Regular
C2459,1979-08-11,Female,Robertshire,2021-11-11,2024-04-03,2,Regular
C2460,1988-08-18,Male,Lake Dustin,2022-03-24,2023-11-15,4,Regular
C2461,1974-05-22,Female,Angelashire,2022-05-15,2023-10-16,9,Regular
C2462,2006-08-20,Female,Phillipsborough,2021-09-07,2023-06-15,3,Regular
C2463,1963-03-23,Male,Jerryshire,2022-10-08,2023-09-22,3,Premium
C2464,1956-08-23,Female,South Andrea,2020-04-20,2023-08-01,9,Regular
C2465,1984-02-16,Male,Jonathanfort,2020-09-08,2024-12-13,3,Regular
C2466,1973-12-15,Male,Murraystad,2022-03-30,2024-12-06,7,Regular
C2467,1987-06-29,Male,East Jennifer,2022-12-29,2024-07-15,7,Premium
C2468,1999-09-15,Male,Whiteside,2023-02-12,2023-07-11,3,Regular
C2469,1977-10-03,Female,New Arthurland,2023-04-05,2023-08-16,4,Regular
C2470,1950-07-03,Male,Port Adamberg,2021-10-25,2023-07-09,1,Regular
C2471,1976-04-12,Female,North Jasmine,2020-07-24,2023-08-23,3,Regular
C2472,1967-12-22,Female,East Williamstad,2022-07-26,2024-04-01,5,Premium
C2473,1972-01-31,Female,New Danafort,2021-12-25,2024-04-13,5,Regular
C2474,1966-12-23,Female,Smithside,2021-03-21,2023-12-17,6,VIP
C2475,1966-02-21,Female,Smithhaven,2022-02-13,2024-02-27,1,Regular
C2476,1989-11-24,Male,Amandaport,2021-03-12,2023-07-20,6,Premium
C2477,1951-05-31,Male,New Lisachester,2022-05-25,2024-06-07,6,Regular
C2478,2002-08-31,Female,North Samantha,2021-06-08,2024-01-21,1,Premium
C2479,1955-03-29,Female,East James,2021-08-31,2024-12-06,3,Regular
C2480,1966-09-27,Male,Lisaview,2021-07-01,2023-09-26,6,Regular
C2481,1972-04-22,Female,Millerfurt,2021-09-23,2024-04-03,8,Premium
C2482,1991-07-02,Male,Cunninghambury,2022-08-15,2023-12-13,8,Regular
C2483,1978-01-04,Female,Gabriellaland,2022-10-01,2024-04-11,8,Regular
C2484,1963-11-28,Male,North Richardfurt,2020-11-05,2023-11-09,8,Regular
C2485,1989-05-20,Male,Browntown,2022-09-13,2025-02-08,2,Regular
C2486,1971-07-19,Male,North Vincent,2022-05-10,2023-07-20,6,Regular
C2487,1999-08-29,Female,Newmanmouth,2021-10-02,2023-06-27,4,Regular
C2488,1996-01-18,Female,New Samanthabury,2023-03-13,2023-08-18,8,Regular
C2489,1981-09-23,Male,Port Heather,2020-07-01,2025-01-04,11,Premium
C2490,1946-10-17,Female,Nelsonland,2020-06-27,2024-10-01,2,Regular
C2491,1975-03-31,Male,Rachelshire,2020-09-18,2023-12-10,5,Premium
C2492,1950-04-15,Female,East Sarahmouth,2022-12-15,2025-01-18,10,VIP
C2493,1965-09-12,Male,East Brendafurt,2022-03-31,2024-10-16,4,Regular
C2494,1961-06-21,Male,West Franciscobury,2020-05-12,2024-10-10,8,Regular
C2495,1966-04-18,Female,Rhodesside,2020-10-26,2024-07-29,4,Regular
C2496,1952-03-08,Other,Patrickberg,2020-12-18,2023-05-19,3,Regular
C2497,1996-11-12,Female,New Juliestad,2022-03-03,2023-10-02,6,Premium
C2498,1971-10-19,Female,North Samuelland,2022-03-27,2025-01-26,7,Regular
C2499,2003-02-25,Female,Cassiefurt,2020-04-18,2025-02-11,4,Regular
